,tweet_id,text,favorite_count,retweet_count,created_at
0,1059783315765559296,"In D sind die Untergangspropheten wieder unterwegs. Doch wenn man die wirt. Entwicklung mit Frankreich vergleicht, ist D in einer vergleichsweise komfortablen Situation. https://t.co/bvODriVx6u via @nzz",3,5,Tue Nov 06 12:23:26 +0000 2018
1,1059779003131805704,"RT @NZZ: Die eine Studie sagt, es gebe in Deutschland weniger Arme, die andere das Armutsrisiko sei auf einem Rekordstand. Was soll man nun…",0,8,Tue Nov 06 12:06:18 +0000 2018
2,1059730544924221440,RT @imijnssen: .@NZZMusik hat Serebrennikows Aufführung von Così fan Tutte .@operzuerich besprochen: Liebe ist auch bloss eine grosse Insze…,0,5,Tue Nov 06 08:53:45 +0000 2018
3,1059713827514789888,"Neuwahlen sollen in #Armenien die Revolution vollenden. Ministerpräsident #Paschinjan hofft auf ein starkes Mandat des Volkes, trotz einigen Unwägbarkeiten https://t.co/shhCJQRFie via ⁦@NZZ⁩",9,12,Tue Nov 06 07:47:19 +0000 2018
4,1059533055298285572,"RT @pfi_nzz: Was tun, wenn der konjunkturelle Schwächeanfall kommt? Die Stärken und Schwächen von #Deuschland und #Frankreich im Vergleich.…",0,6,Mon Nov 05 19:49:00 +0000 2018
5,1059532521954775042,"Der Mann, den ein grosser Teil der veröffentlichten Meinung seit Monaten als Gefahr für die Demokratie darstellt, hat in Wahrheit mehr für die Sicherheit des Landes getan als so ziemlich jeder andere: mein Kommentar zum Fall Maassen. https://t.co/JZNjjKzyIC via @nzz",822,398,Mon Nov 05 19:46:53 +0000 2018
6,1059500986228789249,RT @BenzMatthias: Bösendorfer gilt unter Pianisten als Legende. Aber das Unternehmen stand vor dem Untergang. Dank komplett neu entwickelte…,0,12,Mon Nov 05 17:41:34 +0000 2018
7,1059474222119043072,"Angela Merkel gibt nach achtzehn Jahren das Amt des CDU-Parteichefs ab - die FAZ reagiert auf so viel Veränderung verängstigt. Vieles könne nun ins Rutschen geraten. ""Man muss kein Pessimist sein, um die Lage beunruhigend zu finden.""
https://t.co/uDuUcz3uYT",5,2,Mon Nov 05 15:55:13 +0000 2018
8,1059358799096700928,"Ich freue mich sehr, dass mein Interview mit @M_Wolffsohn über den neuen Antisemitismus in Deutschland (https://t.co/9TweO338Gd) im Berliner Magazin der Women’s International Zionist Organisation nachgedruckt wurde. https://t.co/DEKNuiciC2",6,1,Mon Nov 05 08:16:34 +0000 2018
9,1059341850102939648,"«Selbst ein Anton Hofreiter ist ja mittlerweile domestiziert.» Mein Kollege @hjf_mueller hat mit dem Historiker @paulnolteberlin über die Stärke der Grünen, die Schwäche der Volksparteien und die Radikalisierung der AfD gesprochen. https://t.co/HfVlCHxm0z via @NZZ",17,14,Mon Nov 05 07:09:13 +0000 2018
10,1059337015421034499,"RT @SchweizerMonat: «Es ist Zeit, den Liberalismus neu zu entdecken. Und das bedeutet auch: die Finger auf seine wunden Stellen legen», fin…",0,7,Mon Nov 05 06:50:00 +0000 2018
11,1058740495516659712,"Immer öfter finde ich in meiner Timeline Schweizer Stimmberechtigte, die vor der Abstimmung ihren ausgefüllten Stimmzettel vertwittern. Mit Verlaub, ich finde das es bitzeli aufdringlich.",9,0,Sat Nov 03 15:19:39 +0000 2018
12,1058667538085789697,RT @RHoeltschi: Der jüngste Banken-#Stresstest in der EU zeigt: 1) Die Banken sind insgesamt robuster geworden 2) im Krisenszenario schneid…,0,7,Sat Nov 03 10:29:44 +0000 2018
13,1058667189606236160,Und der #Kommentar zum #Stresstest: Auf die Erkenntnisse des #Bankenstresstests müssen endlich die Taten folgen https://t.co/hVjqR8My0j via @nzz #DeutscheBank #Commerzbank #Barclays #DZBank #Lloyds,0,1,Sat Nov 03 10:28:21 +0000 2018
14,1058666633554771968,"Welche Banken beim EU-Bankenstresstest am schlechtesten abschnitten https://t.co/Evua0ByJ1w via @nzz #Barclays,# Lloyds Banking Group (6,80) und Banco #BPM unter eine kritische Grenze fallen. Auch die #DeutscheBank, die #ErsteGroup und #BNPParibas erreichen schwache Werte.",1,1,Sat Nov 03 10:26:09 +0000 2018
15,1058505614450745344,Zwei britische Banken leiden beim EU-Bankenstresstest am meisten: https://t.co/oUMfpgW7cL,0,0,Fri Nov 02 23:46:19 +0000 2018
16,1058452441417564160,"RT @NZZ: Europas Banken sind oberflächlich in einem passablen Zustand. Grundlegende Veränderungen braucht es dennoch. #Stresstest
Ein Komme…",0,5,Fri Nov 02 20:15:01 +0000 2018
17,1058413941439807489,"RT @janfleischhauer: Es gibt nicht wenige, die finden, dass es 73 Jahre nach Kriegsende auch mal gut sein müsse mit der Rücksichtnahme. Das…",0,39,Fri Nov 02 17:42:02 +0000 2018
18,1058403151928311808,"Wer wird der neue CDU-Parteichef? Ich habe mit Frank V. Wahlig (ARD/SWR Radio), Ansgar Graw (Welt) und Dr. Peter Brinkmann (Moderator) diskutiert. Die Sendung wird am Sonntag, um 12.00 Uhr, auf https://t.co/LvCsWO1YpD übertragen. https://t.co/1cIhy74wjm",2,0,Fri Nov 02 16:59:10 +0000 2018
19,1058340192623513600,RT @NZZ: Die Zeit ist abgelaufen für Kanzlerin #Merkel und ihre Koalition. Wer beendet nun den Stillstand und bildet eine andere Regierung?…,0,67,Fri Nov 02 12:48:59 +0000 2018
